,link,car_type
0,/mua-ban-xe/mercedes--benz-class-27548.html,Sedan
1,/mua-ban-xe/mercedes--benz-class-27547.html,Sedan
2,/mua-ban-xe/kia-new-sorento-22at-2014-26003.html,SUV 7 chỗ
3,/mua-ban-xe/mercedes--benz-s400-30at-2016-26002.html,Sedan
4,/mua-ban-xe/lexus-rx350-35at-2011-26000.html,SUV 5 chỗ
5,/mua-ban-xe/mazda-2s-15at-2012458-25998.html,Sedan
6,/mua-ban-xe/kia-morning-10at-2011-25997.html,Hatchback
7,/mua-ban-xe/mercedes-benz-gla-45-amg-20at-2016-25993.html,Hatchback
8,/mua-ban-xe/chevrolet-captiva-24at-2007-25991.html,SUV 7 chỗ
9,/mua-ban-xe/ford-ranger-xls-22mt-2014-25989.html,Bán tải
